sp
Aristolochia baetica
Asparagus acutifolius
Asparagus aphyllus
Calamintha sylvatica
Chamaerops humilis
Hedera helix
Smilax aspera
Ruscus aculeatus
Ruscus hypophyllum
Lonicera periclymenum
Dorycnium pentaphyllum
