site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Viburnum tinus,Vibutinu,tree,0,0,NA,2,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Olea europaea,Oleaeuro,shrub,0,0,NA,1,NA,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Olea europaea,Oleaeuro,tree,0,0,NA,1,NA,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Lavandula stoechas,Lavastoe,shrub,0,0,NA,5,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Lavandula stoechas,Lavastoe,tree,0,0,NA,5,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Ilex aquifolium,Ilexaqui,tree,10.949999999999998,1,NA,1,NA,2,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Genista tridentata,Genitrid,shrub,0.4500000000000002,1,0,2,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Genista tridentata,Genitrid,tree,0,0,NA,2,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Genista tridens,Genitrids,tree,0,0,NA,3,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Erica scoparia,Ericscop,shrub,0,0,NA,5,1,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Erica scoparia,Ericscop,tree,0,0,NA,5,1,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Dittrichia viscosa,Dittvisc,shrub,0,0,NA,NA,NA,NA,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Dittrichia viscosa,Dittvisc,tree,0,0,NA,NA,NA,NA,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Erica arborea,Ericarbo,tree,0,0,NA,5,1,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Daphne gnidium,Daphgnid,shrub,0,0,NA,6,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Crataegus monogyna,Cratmono,shrub,0,0,NA,3,1,2,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Crataegus monogyna,Cratmono,tree,0,0,NA,3,1,2,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus salvifolius,Cistsalv,tree,0,0,NA,4,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus ladanifer,Cistlada,shrub,0,0,NA,NA,0,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus ladanifer,Cistlada,tree,0,0,NA,NA,0,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Ceratonia siliqua,Cerasili,shrub,0,0,NA,2,NA,2,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Ceratonia siliqua,Cerasili,tree,0,0,NA,2,NA,2,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Calluna vulgaris,Callvulg,shrub,0,0,NA,3,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,bare,Bare,tree,37.25,1,NA,NA,NA,NA,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,bare,Bare,shrub,3.1,1,NA,NA,NA,NA,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Viburnum tinus,Vibutinu,shrub,0,0,NA,2,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Arbutus unedo,Arbuuned,shrub,7.699999999999999,1,0,5,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Ulex borgiae,Ulexborg,shrub,0.6499999999999999,1,0,3,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Phillyrea angustifolia,Philangu,tree,0,0,NA,2,NA,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Teucrium fruticans,Teucfrut,shrub,0.20000000000000007,1,0,2,NA,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Rosa sempervirens,Rosasemp,shrub,0,0,NA,2,NA,NA,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Lithodora prostrata,Lithpros,tree,0,0,NA,NA,NA,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus suber,Quersube,tree,0,0,NA,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus lusitanica,Querlusi,tree,0,0,NA,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus lusitanica,Querlusi,shrub,12.250000000000002,1,0,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus canariensis,Quercana,tree,0,0,NA,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Genista triacanthos,Genitria,tree,0,0,NA,3,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Pistacia lentiscus,Pistlent,tree,0,0,NA,5,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Phillyrea latifolia,Phillati,tree,0,0,NA,2,NA,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Pinus pinaster,Pinupina,shrub,0,0,NA,5,NA,NA,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Ulex borgiae,Ulexborg,tree,0,0,NA,3,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus populifolius,Cistpopu,shrub,17.75,1,0,4,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Myrtus communis,Myrtcomm,shrub,0,0,NA,2,NA,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Myrtus communis,Myrtcomm,tree,0,0,NA,2,NA,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Stauracanthus boivinii,Stauboiv,shrub,0,0,NA,2,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Lithodora prostrata,Lithpros,shrub,0,0,NA,NA,NA,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Ilex aquifolium,Ilexaqui,shrub,1.0999999999999996,1,0,1,NA,2,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Genista tridens,Genitrids,shrub,0,0,NA,3,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus albidus,Cistalbi,tree,0,0,NA,5,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus canariensis,Quercana,shrub,0,0,NA,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Erica australis,Ericaust,shrub,11.500000000000004,1,0,5,1,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Erica australis,Ericaust,tree,0,0,NA,5,1,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Erica arborea,Ericarbo,shrub,0,0,NA,5,1,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Calicotome villosa,Calivill,tree,0,0,NA,2,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cytisus striatus,Cytistri,tree,0,0,NA,NA,NA,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Daphne gnidium,Daphgnid,tree,0,0,NA,6,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus salvifolius,Cistsalv,shrub,0,0,NA,4,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Stauracanthus boivinii,Stauboiv,tree,0,0,NA,2,1,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Halimium halimifolium,Halihali,tree,0,0,NA,5,0,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus crispus,Cistcris,shrub,0,0,NA,5,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Cistus crispus,Cistcris,tree,0,0,NA,5,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus suber,Quersube,shrub,0,0,NA,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Phillyrea angustifolia,Philangu,shrub,0,0,NA,2,NA,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Calluna vulgaris,Callvulg,tree,0,0,NA,3,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Arbutus unedo,Arbuuned,tree,1.8000000000000007,1,NA,5,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Pinus pinaster,Pinupina,tree,0,0,NA,5,NA,NA,NA
