species,site,shrub_tree,in_out,cover,presence
Arbutus unedo,Cucarretes2,tree,inside,0,0
Arbutus unedo,Cucarretes2,shrub,outside,0,0
Arbutus unedo,Cucarretes2,tree,outside,0,0
Arbutus unedo,Cuevas_Hospital2,shrub,inside,0,0
Arbutus unedo,Cuevas_Hospital2,tree,inside,1.8000000000000007,1
Arbutus unedo,Cuevas_Hospital2,shrub,outside,0,0
Arbutus unedo,Cuevas_Hospital2,tree,outside,8.8,1
Arbutus unedo,Faldas_Rubio1,shrub,inside,0,0
Arbutus unedo,Faldas_Rubio1,tree,inside,0,0
Arbutus unedo,Faldas_Rubio1,shrub,outside,0,0
Arbutus unedo,Faldas_Rubio1,tree,outside,0,0
Arbutus unedo,Faldas_Rubio2,shrub,inside,0,0
Arbutus unedo,Faldas_Rubio2,tree,inside,0,0
Arbutus unedo,Faldas_Rubio2,shrub,outside,0,0
Arbutus unedo,Faldas_Rubio2,tree,outside,0,0
Arbutus unedo,Garganta_Honda,shrub,inside,0,0
Arbutus unedo,Garganta_Honda,tree,inside,0,0
Arbutus unedo,Garganta_Honda,shrub,outside,0,0
Arbutus unedo,Garganta_Honda,tree,outside,0,0
Arbutus unedo,Gavilanes,shrub,inside,0,0
Arbutus unedo,Gavilanes,tree,inside,0,0
Arbutus unedo,Gavilanes,shrub,outside,0,0
Arbutus unedo,Gavilanes,tree,outside,0,0
Arbutus unedo,Hernan_Martin,shrub,inside,1.1999999999999993,1
Arbutus unedo,Hernan_Martin,tree,inside,0,0
Arbutus unedo,Hernan_Martin,shrub,outside,0,0
Arbutus unedo,Hernan_Martin,tree,outside,0,0
Arbutus unedo,Laguna_Picacho,shrub,inside,0,0
Arbutus unedo,Laguna_Picacho,tree,inside,0,0
Arbutus unedo,Laguna_Picacho,shrub,outside,0,0
Arbutus unedo,Laguna_Picacho,tree,outside,0,0
Arbutus unedo,Las_Naranjas,shrub,inside,0,0
Arbutus unedo,Las_Naranjas,tree,inside,0,0
Arbutus unedo,Las_Naranjas,shrub,outside,0,0
Arbutus unedo,Las_Naranjas,tree,outside,0,0
Arbutus unedo,Laurel,shrub,inside,0,0
Arbutus unedo,Laurel,tree,inside,0,0
Arbutus unedo,Laurel,shrub,outside,0,0
Arbutus unedo,Laurel,tree,outside,2.5,1
Arbutus unedo,Mogea_Luenga2,shrub,inside,0,0
Arbutus unedo,Mogea_Luenga2,tree,inside,0,0
Arbutus unedo,Mogea_Luenga2,shrub,outside,0,0
Arbutus unedo,Mogea_Luenga2,tree,outside,0,0
Arbutus unedo,Palancar,shrub,inside,0,0
Arbutus unedo,Palancar,tree,inside,0,0
Arbutus unedo,Palancar,shrub,outside,0,0
Arbutus unedo,Palancar,tree,outside,0,0
Arbutus unedo,Puertollano,shrub,inside,0,0
Arbutus unedo,Puertollano,tree,inside,0,0
Arbutus unedo,Puertollano,shrub,outside,0,0
Arbutus unedo,Puertollano,tree,outside,0,0
Arbutus unedo,Teja1,shrub,inside,0,0
Arbutus unedo,Teja1,tree,inside,0,0
Arbutus unedo,Teja1,shrub,outside,0,0
